"Status","Name","Duration in ms","Description"
"passed","test.ConstructorTest.testSwitchToFillingsSection","2988","Проверка перехода к разделу 'Начинки' в конструкторе"
"passed","test.LoginTest.testLoginFromRegistrationForm","4347","Проверка входа через кнопку 'Войти' в форме регистрации"
"passed","test.LoginTest.testLoginFromPersonalAccount","4143","Проверка входа через кнопку 'Личный кабинет'"
"passed","test.LoginTest.testLoginFromButtonOnConstructorPage","3397","Проверка входа через кнопку 'Войти в аккаунт' на странице конструктора"
"passed","test.LoginTest.testLoginFromRecoveryForm","5498","Проверка входа через кнопку 'Войти' в форме восстановления пароля"
"passed","test.ConstructorTest.testSwitchToBunsSection","5813","Проверка перехода к разделу 'Булки' в конструкторе"
"passed","test.RegistrationTest.testSuccessfulRegistration","4411","Проверка успешной регистрации пользователя с валидными данными"
"passed","test.ConstructorTest.testSwitchToSaucesSection","4066","Проверка перехода к разделу 'Соусы' в конструкторе"
"passed","test.RegistrationTest.testInvalidPasswordError","24382","Проверка ошибки при регистрации с паролем меньше 6 символов"
